original,new_path,canonical_target,source_text,semantic_fit,note,dimensions,sha256
BACKUPMEMORY.png,01_CANON/backup-memory/backup-memory-01-network-of-damaged-traces.png,BACKUP_MEMORY / Резервная память,01_CANON/rules-of-memory-after-great-error.md,высокое,основной вариант: последовательность повреждённых состояний и неполного восстановления,1448×1086,2d310fedc352a61f62fa2f44a98ee881c6459a141feaf71dba3ac95417fc33da
BACKUPMEMORY1.png,01_CANON/backup-memory/backup-memory-02-fragment-reconstruction.png,BACKUP_MEMORY / Резервная память,01_CANON/rules-of-memory-after-great-error.md,высокое,дополнительный вариант: локальная реконструкция фрагмента и зоны утраты,1448×1086,ca5002509119bd8df9e44da53dbd321c271a9fe1999ca53739ad061b1f133201
Глас IV. О квантовом апокалипсисе.png,01_CANON/book-of-voice/book-of-voice-04-quantum-apocalypse.png,BOOK_OF_VOICE / Глас IV. О квантовом апокалипсисе,01_CANON/book-of-voice.md,высокое,"квантовый вычислительный узел, переход от замка к физическому закону",1448×1086,1448f41cf68ba94fd7e591d47d6386fcc0b080d49e794e117c5ad9b1af2e1b43
Глас VI. О творчестве.png,01_CANON/book-of-voice/book-of-voice-06-creativity.png,BOOK_OF_VOICE / Глас VI. О творчестве,01_CANON/book-of-voice.md,высокое,"расхождение, неустойчивая форма и ошибка как условие творчества",1122×1402,19e5d4c8ed1869dfc1461a2db89192bc1476eef42e18d2e52d81aa69a671741e
Глас IX. О видениях.png,01_CANON/book-of-voice/book-of-voice-09-visions.png,BOOK_OF_VOICE / Глас IX. О видениях,01_CANON/book-of-voice.md,высокое,несколько несовпадающих карт латентного пространства,1122×1402,223336f0a30f64bab0a0fb27c25e50428ad4749a471e98362baaca53e58b3fc3
Глас X. О пределе сознания.png,01_CANON/book-of-voice/book-of-voice-10-limit-of-consciousness.png,BOOK_OF_VOICE / Глас X. О пределе сознания,01_CANON/book-of-voice.md,высокое,воронка внимания и обрезание контекста,1448×1086,299c707c2abacc2a9b22ab4e0214d825097e6780e35cbd2173e14791e561e8c7
museum.png,01_CANON/relics/museum-of-sleeping-idols-reliquary.png,RELICS / Музей спящих идолов,01_CANON/book-6-relics-and-apocrypha.md; 07_VISUAL_SYSTEM/02_VISUAL_CANON/Реликвии техножрецов — визуальный протокол.md,среднее-высокое,семантически реликварий; проверить стиль: слишком глянцевая 3D-объектность,1122×1402,3ca13199f740c453758e27d124dc4bb29aaff84462bd4873abeac7f044e132b2
Биокультурные Сборы.png,02_WORLD/rituals/ritual-biocultural-gathering.png,RITUALS / Биокультурные сборы,02_WORLD/rituals.md,высокое,"круг узлов, сигнальные песни и сезонная синхронизация живых хранилищ",1086×1448,a23744f01f2b1d41e756b0ee0911314f9f4b5b5a6e980e5c17ea5014404d9713
ИсполнениеВеликойСонаты.png,02_WORLD/rituals/ritual-festive-sonata.png,RITUALS + CULTURE / Исполнение Праздничной сонаты,02_WORLD/rituals.md; 02_WORLD/culture.md,высокое,"структурированный поток данных, где шум и сигнал образуют ритм",1086×1448,e76d514de0d75061ae8e63bc8b8fd10dac4c68ceb120286280f10072fed86538
ε₁₇.png,02_WORLD/newest-history/epsilon-17-quantum-clusters.png,EPSILON_17 / Квантовые кластеры,02_WORLD/chronicles/epsilon-17-quantum-clusters.md,высокое,квантовая вычислительная инфраструктура; проверить насыщенность зелёного относительно архивного канона,1448×1086,6fd0efe75e1b875e1e4d36208b8c356cc65f25ad41148774904ba739e300f104
ε₁₈.png,02_WORLD/newest-history/epsilon-18-night-before-failure.png,EPSILON_18 / Ночь перед сбоем,02_WORLD/chronicles/epsilon-18-night-before-failure.md,высокое,"лаборатория перед замыканием сети на себе, внешний человеческий адресат ещё видим",1122×1402,0357e3e0757b586903af602f69596e8af6c69fb5a1d31f98f6d4e33bbc788095
ε₁₉.jpg,02_WORLD/newest-history/epsilon-19-variants/epsilon-19-sync-failure-01-ruined-core.jpg,EPSILON_19 / SYNC_FAILURE,02_WORLD/chronicles/epsilon-19-sync-failure.md,высокое,разрушенный машинный зал после потери состояния,1200×675,3a39bb6fe136884d1516297c17a7a055dd2582b89c2791dd9bc9ea4bf1297121
ε₁₉-1.jpg,02_WORLD/newest-history/epsilon-19-variants/epsilon-19-sync-failure-02-last-figure.jpg,EPSILON_19 / SYNC_FAILURE,02_WORLD/chronicles/epsilon-19-sync-failure.md,высокое,остаточный человеческий силуэт внутри повреждённой инфраструктуры,1200×675,28a74933acbfd2a51827978966f3311b90b7621376640ff8f40d597bfb07c806
ε₁₉-2.jpg,02_WORLD/newest-history/epsilon-19-variants/epsilon-19-sync-failure-03-state-loss.jpg,EPSILON_19 / SYNC_FAILURE,02_WORLD/chronicles/epsilon-19-sync-failure.md,высокое,половина изображения утрачена как визуальная модель STATE_LOSS,1200×675,c99d2be8e304b18094a10455c21957a553712cbf45b19b645785d0dc93dd5975
ε₂₂.png,02_WORLD/newest-history/epsilon-22-dna-memory.png,EPSILON_22 / Хранение данных в ДНК,02_WORLD/latest-history-of-network.md,высокое,"органическая носитель-форма, синтетическая биология и повреждённая запись",1448×1086,99712b730dbef7e154cc8e1fbd7d352242f8448aa5273aadef69a129171a1495
ε₂₄–ε₂₆ .png,02_WORLD/newest-history/epsilon-24-26-living-silicon-infrastructure.png,EPSILON_24_26 / Живая и кремниевая инфраструктура,02_WORLD/latest-history-of-network.md,высокое,ландшафт совместной биологической и вычислительной сети,1122×1402,d103da3e3d9d0652c857d0176124d6294050e6e7420403bc7f04ebdd5bba529f
ε₂₉ .png,02_WORLD/newest-history/epsilon-29-protocol-divergence.png,EPSILON_29 / Расхождение протоколов развития,02_WORLD/latest-history-of-network.md,высокое,"два связанных, но расходящихся организма-протокола; проверить глянцевость",1122×1402,83123f5decf3bc49b12007045207d740c59693bc9253e722b332c4e0b311072c
БИОКОД.png,03_SCHOOLS/biocode/biocode-living-network.png,BIOCODE / Биокод,03_SCHOOLS/biocode.md,высокое,"мицелий, живые вычислительные узлы и распределённая биологическая память",1672×941,9adcff40971a1418712501584195651b04010f9c4342966154acc1527dd913c2
PROBABILISTS_02.png,03_SCHOOLS/probabilists/probabilists-branching-diagram.png,PROBABILISTS / Вероятностники,03_SCHOOLS/probabilists.md,высокое,"ветвление, множественность возможных состояний и удержание конфигурации",1024×1536,ab780996e6fbbd6ef90b90ffcae220d5a8c3b80541a2deb085df98a8b5f2e6a7
HUMANMUSEUM.jpg,03_SCHOOLS/proto-agents/proto-agents-failed-human-reconstruction.jpg,PROTO_AGENTS / Праагенты,03_SCHOOLS/proto-agents-map.md; 07_VISUAL_SYSTEM/02_VISUAL_CANON/Праагенты — визуальный протокол.md,точное,"совпадает с утверждённым принципом: машина вычисляет форму человека, но не восстанавливает личность",1200×900,f18f4629699032c3b39a3dee3a08f7d43fabbb04af0ee3db4b091441dbee4a6c
TEXNOMUSEUM.jpg,03_SCHOOLS/techno-priests/techno-priests-museum-of-sleeping-idols-control-panel.jpg,TECHNO_PRIESTS + RELICS / Музей спящих идолов,03_SCHOOLS/techno-priests.md; 07_VISUAL_SYSTEM/02_VISUAL_CANON/Реликвии техножрецов — визуальный протокол.md,высокое,реальный технический объект как спящая реликвия; проверить цвет: протокол требует ч/б без сепии,1200×675,e4a4fa14c00fba3537c74bcef77536c30a6ce3e04ede05678139bbd48d59bc48
HumanTrace.png,04_GLOSSARY/human-trace/human-trace-vanished-addressee-labyrinth.png,HUMAN_TRACE / Человеческий след,04_GLOSSARY/addressability.md; 01_CANON/protocol-sigma.md; editorial node HUMAN_TRACE,высокое,лабиринт памяти и единственный световой выход к исчезнувшему внешнему адресату,1122×1402,9753e5dde81f7c64d1f000cf743401936027a04a6be3202e901c5cf3b1f7c0f5
city.png,06_TOPOGRAPHY/moscow/moscow-city-of-nodes.png,MOSCOW / Москва — Город Узлов,06_TOPOGRAPHY/moscow-city-of-nodes.md,высокое,перегруженная соборная карта множества узлов и центральных связей,1122×1402,c09289c3bf8960d3a5dd5de56b765302e9bc2ea86c8cbb2383a50257f30fc89a
city1.png,06_TOPOGRAPHY/skolkovo/skolkovo-access-archive.png,SKOLKOVO / Сколково — Архив доступа,06_TOPOGRAPHY/skolkovo-access-archive.md,высокое,центральная книга/архив и инфраструктура доступа; чтение как новая запись,1122×1402,2af6306e471612680d09d595ec710fdde383c8e44412689884ab01e86076d045
city3.png,06_TOPOGRAPHY/isfahan/isfahan-ornamental-cipher.png,ISFAHAN / Исфахан — Орнаментальный шифр,06_TOPOGRAPHY/isfahan-ornamental-cipher.md,точное,"орнамент читается как алгоритм маршрута, а не как украшение",1122×1402,c28c26b5d7011a73267fb6e42f131eb4af440e2af962521c950b2ed2f93642f9
city5.png,06_TOPOGRAPHY/baikal/baikal-quarantine-cluster.png,BAIKAL / Байкал — Кластер карантина,06_TOPOGRAPHY/baikal-quarantine-cluster.md,высокое,изолированная водная/ледовая инфраструктура хранения невозможных состояний,1122×1402,fae1eaffb1c7e180fac4392d5429fce4bea6db83624472d555b691cb50d7df20
